amfi_code,scheme_name,fund_house,category,return_3yr_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,volatility_pct,sharpe_ratio_y,sortino_ratio_y,alpha,beta,expense_ratio_pct,max_drawdown_pct_y,fund_score,tracking_error_pct,var_95_pct,cvar_95_pct,risk_bucket
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,14.27,14.75,19.57,15.43,0.91,1.55,1.7,0.99,1.52,-33.15,58.5,20.32,-1.47,-1.88,Moderate Risk
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,28.68,18.43,16.56,14.67,0.96,1.45,1.13,0.97,0.92,-33.5,58.38,19.11,-1.46,-1.83,Moderate Risk
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.18,7.12,6.7,6.06,0.51,6.18,9.7,1.52,0.47,0.6,-3.81,56.38,12.9,-0.03,-0.04,Low Risk
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,13.58,25.56,14.68,15.76,0.96,1.37,1.79,1.0,1.64,-12.14,56.06,20.22,-1.52,-1.94,Moderate Risk
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,22.49,20.01,13.91,12.98,0.91,1.24,1.8,1.04,0.89,-26.75,54.06,18.31,-1.26,-1.62,Moderate Risk
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,25.54,21.09,14.19,14.0,0.88,1.48,1.7,1.02,0.72,-18.14,52.88,19.34,-1.34,-1.66,Moderate Risk
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,22.26,35.11,24.45,19.41,0.8,1.18,1.42,1.0,1.38,-32.38,52.06,23.77,-1.85,-2.43,Moderate Risk
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,21.48,26.87,25.61,17.75,0.9,1.5,1.02,0.98,1.61,-26.99,51.94,21.95,-1.79,-2.26,Moderate Risk
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,18.11,18.04,11.7,14.35,0.92,1.63,1.82,0.91,1.54,-21.7,51.31,19.33,-1.45,-1.84,Moderate Risk
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,6.07,5.52,5.84,5.16,3.97,1.52,2.11,1.6,0.22,0.77,-2.3,51.25,13.56,-0.39,-0.5,Low Risk
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,14.76,41.82,18.42,14.89,15.23,0.98,1.5,0.55,0.92,1.41,-21.89,51.12,19.6,-1.44,-1.94,Moderate Risk
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,14.84,-2.22,1.29,2.32,14.55,1.06,1.7,0.78,0.97,1.55,-17.41,50.31,19.93,-1.44,-1.81,Moderate Risk
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,53.23,32.44,26.07,18.94,0.87,1.44,0.95,0.91,1.38,-13.67,49.75,22.87,-1.9,-2.35,Moderate Risk
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,15.29,15.44,11.25,9.88,18.35,0.8,1.38,0.9,1.04,0.78,-32.22,49.19,22.36,-1.84,-2.31,Moderate Risk
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,47.92,28.97,20.44,14.57,0.98,1.25,1.34,1.03,1.6,-15.07,48.56,19.27,-1.33,-1.74,Moderate Risk
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,33.98,22.65,20.88,14.15,1.0,1.68,0.86,0.88,1.51,-16.07,47.81,19.21,-1.4,-1.76,Moderate Risk
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,20.15,15.81,8.01,14.27,25.24,0.81,1.14,0.8,1.03,1.53,-30.87,47.62,27.73,-2.54,-3.23,High Risk
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.14,7.24,6.32,5.71,0.51,5.14,8.76,1.18,0.43,0.79,-3.66,46.75,12.9,-0.03,-0.04,Low Risk
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,19.77,20.82,6.92,13.98,0.87,1.54,1.43,0.87,0.75,-17.4,45.88,18.79,-1.42,-1.75,Moderate Risk
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,11.3,5.71,16.27,18.71,13.94,0.81,1.29,1.78,0.87,0.66,-24.43,45.81,19.21,-1.35,-1.73,Moderate Risk
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,20.98,-42.8,-11.71,1.34,25.07,0.84,1.4,0.51,1.0,1.38,-14.45,45.62,28.58,-2.62,-3.17,High Risk
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,5.31,10.45,4.06,4.66,3.99,1.33,2.38,0.89,0.37,0.55,-2.23,44.38,13.48,-0.38,-0.49,Low Risk
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,-16.8,-0.77,1.03,18.13,0.82,1.21,1.12,0.92,1.51,-13.43,43.38,22.56,-1.92,-2.33,Moderate Risk
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,65.14,27.0,27.92,24.84,0.8,1.23,0.69,0.98,1.52,-17.01,39.25,27.92,-2.35,-3.1,High Risk
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,12.1,20.21,19.67,15.88,12.84,0.93,1.29,0.93,0.9,1.57,-24.42,38.31,18.37,-1.26,-1.55,Moderate Risk
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,11.84,1.61,0.53,5.58,13.95,0.85,1.25,1.41,0.91,1.64,-27.54,35.06,18.91,-1.37,-1.73,Moderate Risk
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,12.25,16.84,17.27,11.82,13.46,0.87,1.34,1.27,0.93,1.59,-17.86,35.0,18.31,-1.31,-1.64,Moderate Risk
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.36,60.44,30.46,22.38,13.74,0.88,1.29,0.87,0.89,1.54,-21.7,34.12,19.12,-1.28,-1.64,Moderate Risk
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,11.54,8.49,13.98,16.36,13.88,0.82,1.12,0.66,0.96,1.42,-25.91,28.31,19.29,-1.36,-1.75,Moderate Risk
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,13.58,39.75,29.18,27.63,17.67,0.8,1.03,0.54,0.98,1.6,-22.62,24.25,21.74,-1.71,-2.13,Moderate Risk
